Model,TBS2204B
Firmware Version,v1.32.139

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.002
Sample Interval,1.6e-07
Filter Frequency,2e+08
Record Length,200000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.05
Label,
TIME,CH3
-1.58965e-02,0.158422
-1.58963e-02,0.157641
-1.58962e-02,0.156766
-1.58960e-02,0.155984
-1.58958e-02,0.154492
-1.58957e-02,0.153477
-1.58955e-02,0.152531
-1.58954e-02,0.151781
-1.58952e-02,0.151094
-1.58950e-02,0.150445
-1.58949e-02,0.14957
-1.58947e-02,0.147547
-1.58946e-02,0.146563
-1.58944e-02,0.147008
-1.58942e-02,0.146867
-1.58941e-02,0.146625
-1.58939e-02,0.145781
-1.58938e-02,0.145016
-1.58936e-02,0.144586
-1.58934e-02,0.144414
-1.58933e-02,0.144469
-1.58931e-02,0.144891
-1.58930e-02,0.14525
-1.58928e-02,0.145266
-1.58926e-02,0.14607
-1.58925e-02,0.146805
-1.58923e-02,0.147055
-1.58922e-02,0.147117
-1.58920e-02,0.14782
-1.58918e-02,0.148797
-1.58917e-02,0.150055
-1.58915e-02,0.151234
-1.58914e-02,0.152063
-1.58912e-02,0.152852
-1.58910e-02,0.153625
-1.58909e-02,0.154641
-1.58907e-02,0.156016
-1.58906e-02,0.157016
-1.58904e-02,0.157477
-1.58902e-02,0.158695
-1.58901e-02,0.160234
-1.58899e-02,0.161914
-1.58898e-02,0.163523
-1.58896e-02,0.164805
-1.58894e-02,0.166008
-1.58893e-02,0.166945
-1.58891e-02,0.168133
-1.58890e-02,0.168992
-1.58888e-02,0.169953
-1.58886e-02,0.171438
-1.58885e-02,0.171547
-1.58883e-02,0.17157
-1.58882e-02,0.17218
-1.58880e-02,0.172672
-1.58878e-02,0.172992
-1.58877e-02,0.172352
-1.58875e-02,0.171531
-1.58874e-02,0.171023
-1.58872e-02,0.170859
-1.58870e-02,0.169797
-1.58869e-02,0.168586
-1.58867e-02,0.167383
-1.58866e-02,0.16657
-1.58864e-02,0.165938
-1.58862e-02,0.163742
-1.58861e-02,0.162359
-1.58859e-02,0.16157
-1.58858e-02,0.16
-1.58856e-02,0.158016
-1.58854e-02,0.157023
-1.58853e-02,0.156453
-1.58851e-02,0.154977
-1.58850e-02,0.154289
-1.58848e-02,0.153641
-1.58846e-02,0.152414
